;load_VE_austria;load_VE_belgium;load_VE_switzerland;load_VE_germany;load_VE_danemark;load_VE_spain;load_VE_france;load_VE_england;load_VE_ireland;load_VE_italy;load_VE_luxembourg;load_VE_netherlands;load_VE_norway;load_VE_portugal;load_VE_sweden;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;hour00;hour01;hour02;hour03;hour04;hour05;hour06;hour07;hour08;hour09;hour10;hour11;hour12;hour13;hour14;hour15;hour16;hour17;hour18;hour19;hour20;hour21;hour22;hour23
hour06;0.081655307;0.020556541;-0.021472898;0.049360457;0.097508872;-0.032860279;0.023734763;-0.095617501;-0.184399038;0.045599307;-0.063952991;0.007518545;0.048643199;-0.176063071;0.061475601;-4.97E-05;9.22E-05;7.83E-05;0.000869441;-0.001124846;6.62E-05;6.71E-05;-2.78E-06;-0.000260692;-6.71E-05;-0.000686325;7.25E-05;-9.36E-05;0.000339057;-2.54E-05;0.000233705;-0.000306274;0.000843455;6.53E-05;-0.043559153;-0.043416764;-0.043653864;-0.04360653;-0.04360653;-0.04360653;1;-0.043559153;-0.043571001;-0.043499871;-0.043404881;-0.04346427;-0.043499871;-0.04347614;-0.04346427;-0.043488007;-0.043535448;-0.043618367;-0.043547302;-0.043523592;-0.043488007;-0.043571001;-0.043571001;-0.043547302
hour07;0.117811145;0.083817761;0.050281996;0.098608197;0.142628427;0.049806848;0.058788899;0.022704564;-0.048682946;0.112521423;-0.006237504;0.093140842;0.065282602;-0.064623174;0.078125684;8.34E-05;0.00022555;-0.000408495;0.000692297;-0.000681476;0.000199606;-0.000110923;0.000102781;-0.00016097;3.94E-05;-0.000207322;0.000178705;-0.000362927;7.23E-05;-0.000327977;-7.75E-05;-0.00022127;0.000927616;0.000150281;-0.043523645;-0.043381372;-0.043618279;-0.043570984;-0.043570984;-0.043570984;-0.043559153;1;-0.043535484;-0.043464412;-0.043369499;-0.04342884;-0.043464412;-0.0434407;-0.04342884;-0.043452557;-0.04349996;-0.043582811;-0.043511804;-0.043488113;-0.043452557;-0.043535484;-0.043535484;-0.043511804
hour08;0.136510968;0.118270107;0.089859081;0.131824119;0.164102265;0.107760225;0.075951126;0.08384571;0.055772244;0.135032039;0.054514503;0.12193798;0.067970902;0.032950309;0.085957647;3.90E-05;-0.00012956;0.000167373;2.60E-05;-0.000103332;-0.000155466;0.000155838;-0.000303737;-0.000194227;0.000372322;-0.000617201;0.000512973;-0.000397722;3.72E-05;-0.000360119;-0.000109031;0.000195113;0.000899549;0.000121943;-0.043535484;-0.043393172;-0.043630143;-0.043582835;-0.043582835;-0.043582835;-0.043571001;-0.043535484;1;-0.043476235;-0.043381295;-0.043440653;-0.043476235;-0.043452516;-0.043440653;-0.043464377;-0.043511792;-0.043594666;-0.043523639;-0.043499942;-0.043464377;-0.043547326;-0.043547326;-0.043523639
hour09;0.152724674;0.135865687;0.115123504;0.160765875;0.169880177;0.141620067;0.084135026;0.113049309;0.096137614;0.134972291;0.087903523;0.123799235;0.063417742;0.091166582;0.085457225;-5.69E-06;0.000759365;0.000435138;-0.00032998;-0.000148793;-0.000199788;-0.000512127;-9.28E-05;-0.000383453;0.00058631;-0.000409418;-1.42E-05;0.000185729;0.0002481;-0.000167028;0.000487205;0.000366083;-0.000745141;-0.000154637;-0.043464412;-0.043322333;-0.043558917;-0.043511686;-0.043511686;-0.043511686;-0.043499871;-0.043464412;-0.043476235;1;-0.043310475;-0.043369736;-0.043405259;-0.04338158;-0.043369736;-0.043393421;-0.043440759;-0.043523498;-0.043452587;-0.043428929;-0.043393421;-0.043476235;-0.043476235;-0.043452587
hour10;0.145665344;0.139443698;0.140051134;0.171578157;0.15363692;0.157264072;0.09485544;0.129885792;0.125364429;0.10815481;0.11191382;0.115357579;0.05399229;0.124649353;0.078603149;-0.000897425;-0.000129391;0.000170951;2.56E-05;-0.000417779;0.000779852;0.000467077;0.000189452;-0.000506708;0.000502886;-0.000131403;-0.00047221;9.10E-05;0.000903701;-0.000309271;-7.32E-05;0.000594845;-0.000523163;-0.000375465;-0.043369499;-0.04322773;-0.043463797;-0.043416669;-0.043416669;-0.043416669;-0.043404881;-0.043369499;-0.043381295;-0.043310475;1;-0.043275029;-0.043310475;-0.043286847;-0.043275029;-0.043298663;-0.043345897;-0.043428455;-0.043357699;-0.043334093;-0.043298663;-0.043381295;-0.043381295;-0.043357699
hour11;0.124329502;0.124667172;0.112363519;0.162092229;0.140074664;0.161397138;0.083964041;0.13877391;0.138031715;0.081212635;0.110329633;0.102818179;0.045238218;0.132207668;0.067699603;-0.00018388;-4.05E-05;0.000258482;-0.000508378;-1.57E-05;0.00024494;0.000244324;1.29E-05;0.000105688;-0.0004143;7.08E-05;9.22E-05;-0.000458645;0.000726763;-0.000470364;0.000582529;0.000897494;-0.001115671;-6.97E-05;-0.04342884;-0.043286877;-0.043523267;-0.043476075;-0.043476075;-0.043476075;-0.04346427;-0.04342884;-0.043440653;-0.043369736;-0.043275029;1;-0.043369736;-0.043346075;-0.043334241;-0.043357907;-0.043405206;-0.043487877;-0.043417024;-0.043393385;-0.043357907;-0.043440653;-0.043440653;-0.043417024
hour12;0.100331173;0.101519935;0.103029094;0.134371716;0.123473083;0.142843011;0.059348195;0.13272462;0.146883063;0.081091332;0.101294618;0.093301212;0.03926459;0.116659506;0.057031525;-5.69E-06;-0.00017393;-0.000496684;0.00029269;0.00016282;0.000111271;0.00011094;-9.28E-05;5.57E-06;-0.000151699;-0.000409418;0.000356053;0.00056015;-0.000497326;0.000232771;0.000487205;0.000366083;-0.000745141;-0.000154637;-0.043464412;-0.043322333;-0.043558917;-0.043511686;-0.043511686;-0.043511686;-0.043499871;-0.043464412;-0.043476235;-0.043405259;-0.043310475;-0.043369736;1;-0.04338158;-0.043369736;-0.043393421;-0.043440759;-0.043523498;-0.043452587;-0.043428929;-0.043393421;-0.043476235;-0.043476235;-0.043452587
hour13;0.085285927;0.081483086;0.096114474;0.109993661;0.097136076;0.103954201;0.02837154;0.117708752;0.131471387;0.090941664;0.07248555;0.08700221;0.035962995;0.113973308;0.051010524;-0.000228292;-0.000707506;-9.70E-05;7.03E-05;0.000251714;0.000200361;0.000511529;0.000349717;-0.000316917;0.000288593;3.59E-05;-0.000313732;0.000630341;-0.00042727;0.000297463;0.000550738;-0.000468054;-0.001143284;0.000349042;-0.0434407;-0.043298698;-0.043535153;-0.043487948;-0.043487948;-0.043487948;-0.04347614;-0.0434407;-0.043452516;-0.04338158;-0.043286847;-0.043346075;-0.04338158;1;-0.043346075;-0.043369747;-0.04341706;-0.043499753;-0.043428881;-0.043405236;-0.043369747;-0.043452516;-0.043452516;-0.043428881
hour14;0.077734385;0.068744144;0.075589167;0.089517207;0.090754685;0.079572011;0.001082359;0.104549127;0.113058214;0.100351379;0.04457783;0.091057535;0.037964576;0.11238798;0.054367073;0.000127709;-0.000663163;-0.000363199;0.000426329;-1.57E-05;0.000556233;-6.74E-05;0.000385064;0.000105688;0.000324264;7.08E-05;-0.000648876;0.000665462;-1.92E-05;0.000329834;-0.00023133;6.03E-06;-0.001569338;0.000377494;-0.04342884;-0.043286877;-0.043523267;-0.043476075;-0.043476075;-0.043476075;-0.04346427;-0.04342884;-0.043440653;-0.043369736;-0.043275029;-0.043334241;-0.043369736;-0.043346075;1;-0.043357907;-0.043405206;-0.043487877;-0.043417024;-0.043393385;-0.043357907;-0.043440653;-0.043440653;-0.043417024
hour15;0.083103487;0.068763585;0.056362814;0.078800983;0.140522844;0.066696574;-0.01038068;0.113545129;0.113908256;0.105212031;0.031151314;0.116153753;0.042242836;0.098624745;0.067825039;-0.000272682;-0.001063004;-0.000141526;2.58E-05;0.000518946;0.000466942;0.00046699;-0.000429537;3.89E-05;0.00025294;0.000752837;2.12E-05;0.000220722;-0.000835113;0.000265109;0.000112237;-0.000496391;-0.000264002;0.000320605;-0.043452557;-0.043310517;-0.043547036;-0.043499818;-0.043499818;-0.043499818;-0.043488007;-0.043452557;-0.043464377;-0.043393421;-0.043298663;-0.043357907;-0.043393421;-0.043369747;-0.043357907;1;-0.043428911;-0.043511627;-0.043440735;-0.043417084;-0.043381586;-0.043464377;-0.043464377;-0.043440735
hour16;0.109404279;0.094439497;0.037728085;0.09748721;0.175814495;0.061459599;0.01454268;0.151627622;0.14147971;0.124776079;0.03823929;0.149488716;0.045142164;0.080333552;0.076739104;-0.000138897;-0.000928891;-9.22E-06;-0.00015185;0.000652402;0.000288629;0.000289055;0.000173246;0.000294323;0.000110508;0.00061305;0.000619552;-0.000293286;-0.000602279;0.000135854;-1.43E-05;-0.001499724;0.000530807;-0.000239485;-0.04349996;-0.043357765;-0.043594542;-0.043547273;-0.043547273;-0.043547273;-0.043535448;-0.04349996;-0.043511792;-0.043440759;-0.043345897;-0.043405206;-0.043440759;-0.04341706;-0.043405206;-0.043428911;1;-0.043559094;-0.043488125;-0.043464448;-0.043428911;-0.043511792;-0.043511792;-0.043488125
